objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,utblac_m984_1845a_p1.jpg,,,Mapa Corográfica de la Republica de Bolivia,"Bertrés, Felipe",1902-01-02,"Copia manuscrita realizada en Dresde (Alemania) de un mapa publicado que representa las fronteras históricas de Bolivia (en rosa), Paraguay (naranja) y Argentina (azul). Las fronteras se extienden principalmente a lo largo del río Paraguay, y la frontera entre Bolivia y Argentina atraviesa la actual provincia argentina del Chaco. El mapa muestra la topografía de las colinas, los topónimos, rios lagos de la región. Hay algunas notas sobre la historia de algunos asentamientos y ríos.","mapas históricos;Fronteras;Manuscritos--Facsímiles;Vías navegables;Montañas;Bolivia;Argentina;Paraguay;siglo xix;Ballivián, José, 1804-1852;mapas históricos",Bolivia,-16.9572612,-64.38433218,"Rare Map Collection, Benson Latin American Collection, University of Texas at Austin",M984 1845a,Image;StillImage,image/jpeg,spa,Dominio público,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,utblac_m972-9_1825c_p1.jpg,,,Carta Esférica de las Islas Antillas,"Churruca, Cosme  Churruca y Elorza, Cosme Damián de, 1761-1805",1824 1825,"Copia manuscrita levantada por capitanes de navío de la Armada Española de una carta esfética que representa las Islas Antillas. EN la parte inferior incluye parte de la costa de Venezuela y Colombia. El mapa muestra la topografía de las colinas, los topónimos, ríos, y lagos de la región. Incluye una aclaración de la unidad de medida, Pies de Burgos, y un listado de abreviaturas y sus significados.",,Antillas,,,"Rare Map Collection, Benson Latin American Collection, University of Texas at Austin",M972-9 1825c,Image;StillImage,image/jpeg,spa,Dominio público,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,utblac_m972-92_1755_p1.jpg,,,Carte Réduite de L’Isle de la Jamaïque,"Bellin, Jacques Nicolas",,"- Escala aprox. 1:600.000.
- Relieve mostrado pictóricamente.
- Primeros meridianos: París, Londres, Cabo Lezard, Tenerife, [y] Isla del Hierro.
-LC Mapas de América del Norte, 1750-1789, 1914
- Disponible también a través del sitio web de la Biblioteca del Congreso como imagen rasterizada.
- ""Redactado en el Depósito de mapas y planos de la marina en 1753. Por orden del Sr. Rouillé... Departemt. de la marine.""
- N° “21” al reverso.
- AACR2",,Jamaica,,,"Rare Map Collection, Benson Latin American Collection, University of Texas at Austin",M972-92 1755,Image;StillImage,image/jpeg,fra,Dominio público,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,utblac_m972-32_1800g_guad_p1.jpg,,,Fac-simile de un Plano de la Ciudad de Guadalajara,,,,,,,,"Rare Map Collection, Benson Latin American Collection, University of Texas at Austin",M972-32 1800g guad,Image;StillImage,image/jpeg,spa,Dominio público,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,utblac_m972-05_1847h2_copy_2_p1.jpg,,,Battles of Mexico,,,,,,,,"Rare Map Collection, Benson Latin American Collection, University of Texas at Austin",M972-05 1847h2 copy 2,Image;StillImage,image/jpeg,eng,Dominio público,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,utblac_m980_1640h_p1.jpg,,,"Paraguay, o Provincia de Rio de la Plata",,,,,,,,"Rare Map Collection, Benson Latin American Collection, University of Texas at Austin",M980 1640h,Image;StillImage,image/jpeg,spa,Dominio público,http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,utblac_m972-03_1812m2_p1.jpg,,,Plano Histórico del Sitio de Cuautla,"Pichardo, Jorge Suarez ",1904,"Mapa de acuerdo a los eventos iniciales ocurridos en el sitio de Cuautla en 1812, de acuerdo al relato de Felipe Benicio Montero, quien fue testigo directo de los sucesos.",,Cuautla,,,"Rare Map Collection, Benson Latin American Collection, University of Texas at Austin",M972-03 1812m2,Image;StillImage,image/jpeg,spa,Dominio público,http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,utblac_m973_1756p_copy_2_p1.jpg,,,Mapa de la Sierra Gorda,"Garcia Cubas, Antonio",,"Plano geografico de la Sierra Gorda, vertiente del Golfo de Mexico, en el estado de Queretaro.",,Montañas Mexico,,,"Rare Map Collection, Benson Latin American Collection, University of Texas at Austin",M973 1756p copy 2,Image;StillImage,image/jpeg,spa,Dominio público,http://rightsstatements.org/vocab/NoC-US/1.0/
coll009,utblac_m972-43_1857e_p1.jpg,,,Mapa del Estado de Aguascalientes,"Epstein, Isidoro",,"Mapa geografico del estado de Aguascalientes, Mexico en el año 1857. Presenta varias ciudades, iglesias, rutas, partidos y estados limitrofes.",,Aguascalientes,,,"Rare Map Collection, Benson Latin American Collection, University of Texas at Austin",M972-43 1857e,Image;StillImage,image/jpeg,spa,Dominio público,http://rightsstatements.org/vocab/NoC-US/1.0/
coll010,utblac_m972-05_1847s2_p1.jpg,,,Sketch of the Battle of Sacramento,,,,,,,,"Rare Map Collection, Benson Latin American Collection, University of Texas at Austin",M972-05 1847s2,Image;StillImage,image/jpeg,eng,Dominio público,http://rightsstatements.org/vocab/NoC-US/1.0/
coll011,utblac_m982_1868c_p1.jpg,,,Mapa de la República Argentina,,,,,,,,"Rare Map Collection, Benson Latin American Collection, University of Texas at Austin",M982 1868c,Image;StillImage,image/jpeg,spa,Dominio público,http://rightsstatements.org/vocab/NoC-US/1.0/
coll012,utblac_m981_1871m_p1.jpg,,,Carta gerai da fronteira entre o Brazil e a Bolivia,,,,,,,,"Rare Map Collection, Benson Latin American Collection, University of Texas at Austin",M981 1871m,Image;StillImage,image/jpeg,por,Dominio público,http://rightsstatements.org/vocab/NoC-US/1.0/
coll013,utblac_m989_1861d_p1.jpg,,,Mapa de la Republica del Paraguay,,,,,,,,"Rare Map Collection, Benson Latin American Collection, University of Texas at Austin",M989 1861d,Image;StillImage,image/jpeg,spa,Dominio público,http://rightsstatements.org/vocab/NoC-US/1.0/
coll014,utblac_m985_1650s_p1.jpg,,,"Le Pérou, et le cours de la Rivière Amazone",,,,,,,,"Rare Map Collection, Benson Latin American Collection, University of Texas at Austin",M985 1650s,Image;StillImage,image/jpeg,fra,Dominio público,http://rightsstatements.org/vocab/NoC-US/1.0/
coll015,utblac_m980_1807c_p1.jpg,,,A New Map of South America,"Llilas, Benson",,"Mapa geográfico de sudamércia en 1807. Abarca desde Panamá hacia el sur, incluye tanto las regiones gobernadas por la corona española como los dominios portugueses en el Brasil. Se señalan las ciudades y puertos del continente, así como los límites entre los distintos virreynatos, capitanías generales y demás estructuras políticas.",,Sudamérica,,,"Rare Map Collection, Benson Latin American Collection, University of Texas at Austin",M980 1807c,Image;StillImage,image/jpeg,eng,Dominio público,http://rightsstatements.org/vocab/NoC-US/1.0/
coll016,utblac_m972-9_1850a2_p1.jpg,,,A Plan of Martinique,,,,,,,,"Rare Map Collection, Benson Latin American Collection, University of Texas at Austin",M972-9 1850a2,Image;StillImage,image/jpeg,eng,Dominio público,http://rightsstatements.org/vocab/NoC-US/1.0/
coll017,utblac_m980_1600h_p1.jpg,,,Tabula Americae specialis geographica regni Peru,,,,,,,,"Rare Map Collection, Benson Latin American Collection, University of Texas at Austin",M980 1600h,Image;StillImage,image/jpeg,lat,Dominio público,http://rightsstatements.org/vocab/NoC-US/1.0/
coll018,utblac_m972-8_1865b_p1.jpg,,,Mapa no oficial del establecimiento de Belice,Juan Barquera,,"Copia manuscrita del Establecimiento de Belice en el año 1865. En el se registran los cuerpos de agua y principales ciudades. Así como la topografía de la región, señalando terrenos elevados. También referencia las coordenadas geográficas, númeradas en los laterales y con una cuadricula en toda la extensión. En el lateral superior detalla: Plano tercero. Tiene resaltados en color, en la zona central del establecimiento de Belice, diferenciando tres sectores con diferentes colores: rosa, amarillo y azúl. ",mapas históricos;  Fronteras;  Manuscritos--Facsímiles;  Vías navegables;  Montañas;  Belice;  Honduras;  México;  Siglo XIX;  Consejo de Estado,Belice,17.56918807,-88.6017273,"Rare Map Collection, Benson Latin American Collection, University of Texas at Austin",M972-8 1865b,Image;StillImage,image/jpeg,spa,Dominio público,http://rightsstatements.org/vocab/NoC-US/1.0/